business_name,city,state,latitude,longitude,user_name,date
Nori Japan,Toronto,ON,43.647263,-79.3786,Jenny,4.0,2018-07-21 23:02:34
Nori Japan,Toronto,ON,43.647263,-79.3786,Annie,1.0,2018-09-12 21:24:08
Nori Japan,Toronto,ON,43.647263,-79.3786,Edwin,2.0,2018-04-14 16:54:08
Mahar Restaurant Incorp,Toronto,ON,43.6722,-79.32326,Arun,3.0,2010-11-28 02:38:19
Mahar Restaurant Incorp,Toronto,ON,43.6722,-79.32326,Craig,5.0,2011-09-30 22:08:06
Mahar Restaurant Incorp,Toronto,ON,43.6722,-79.32326,Smruti,1.0,2012-07-01 02:39:47
Mahar Restaurant Incorp,Toronto,ON,43.6722,-79.32326,Jeff,3.0,2013-05-02 02:51:04
Mahar Restaurant Incorp,Toronto,ON,43.6722,-79.32326,Ayesha,3.0,2011-05-08 22:17:33
Mahar Restaurant Incorp,Toronto,ON,43.6722,-79.32326,Geoffrey,3.0,2010-01-18 05:43:47
Mahar Restaurant Incorp,Toronto,ON,43.6722,-79.32326,Harold,4.0,2009-05-22 02:08:52
Mahar Restaurant Incorp,Toronto,ON,43.6722,-79.32326,Nicola,5.0,2016-01-28 22:00:12
Mahar Restaurant Incorp,Toronto,ON,43.6722,-79.32326,Jonathan,3.0,2010-03-25 19:34:05
Quik Sushi,Toronto,ON,43.64905,-79.37177,Ernst,1.0,2015-11-11 19:38:09
Quik Sushi,Toronto,ON,43.64905,-79.37177,Robin,1.0,2011-02-18 00:07:31
Quik Sushi,Toronto,ON,43.64905,-79.37177,Elvis,4.0,2012-11-08 20:36:30
Quik Sushi,Toronto,ON,43.64905,-79.37177,Harry,3.0,2016-11-27 01:13:22
Quik Sushi,Toronto,ON,43.64905,-79.37177,Eric,4.0,2016-10-08 01:56:42
Quik Sushi,Toronto,ON,43.64905,-79.37177,Alicia,1.0,2016-10-25 17:13:27
Quik Sushi,Toronto,ON,43.64905,-79.37177,Blake,4.0,2017-08-09 22:25:51
Myato Gastropub,Toronto,ON,43.66519,-79.410194,Catherine,4.0,2018-11-10 18:45:37
Myato Gastropub,Toronto,ON,43.66519,-79.410194,Tenzin,5.0,2018-10-20 00:31:21
Myato Gastropub,Toronto,ON,43.66519,-79.410194,Utura,5.0,2018-11-13 02:26:04
Myato Gastropub,Toronto,ON,43.66519,-79.410194,Lily,5.0,2018-10-11 22:47:07
Myato Gastropub,Toronto,ON,43.66519,-79.410194,Ryan,5.0,2018-11-13 03:45:20
Myato Gastropub,Toronto,ON,43.66519,-79.410194,Kelsey,5.0,2018-11-12 02:20:31
Myato Gastropub,Toronto,ON,43.66519,-79.410194,Ali,4.0,2018-10-30 23:44:43
Myato Gastropub,Toronto,ON,43.66519,-79.410194,Claire,5.0,2018-10-27 17:11:29
Myato Gastropub,Toronto,ON,43.66519,-79.410194,Shar,4.0,2018-10-15 18:23:47
Myato Gastropub,Toronto,ON,43.66519,-79.410194,Zak,5.0,2018-10-05 13:09:05
Myato Gastropub,Toronto,ON,43.66519,-79.410194,Mary,4.0,2018-10-14 17:33:12
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Shaina,3.0,2018-11-04 03:18:20
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Amie,5.0,2018-11-14 06:30:15
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Shaan,5.0,2018-10-22 03:37:29
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Nishita,5.0,2018-11-12 22:24:28
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Cathy,4.0,2018-10-28 16:12:59
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Vanessa,3.0,2018-11-10 19:40:21
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Jennifer,4.0,2018-10-22 04:12:14
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Kk,5.0,2018-10-25 18:41:58
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Geraldine,5.0,2018-10-25 18:54:37
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Wendy,3.0,2018-10-27 17:28:46
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Fung Shun Yat,5.0,2018-11-14 04:15:34
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Jenny,5.0,2018-10-22 15:19:23
